<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BCH-USD,D,02/08/20,00:00:00,284.0800000
GDAX.BCH-USD,D,03/08/20,00:00:00,297.0200000
GDAX.BCH-USD,D,04/08/20,00:00:00,288.1300000
GDAX.BCH-USD,D,05/08/20,00:00:00,293.9700000
GDAX.BCH-USD,D,06/08/20,00:00:00,309.2800000
GDAX.BCH-USD,D,07/08/20,00:00:00,302.6100000
GDAX.BCH-USD,D,08/08/20,00:00:00,305.4000000
GDAX.BCH-USD,D,09/08/20,00:00:00,300.2000000
GDAX.BCH-USD,D,10/08/20,00:00:00,302.6300000
GDAX.BCH-USD,D,11/08/20,00:00:00,281.7100000
GDAX.BCH-USD,D,12/08/20,00:00:00,284.7000000
GDAX.BCH-USD,D,13/08/20,00:00:00,296.1500000
GDAX.BCH-USD,D,14/08/20,00:00:00,293.7400000
GDAX.BCH-USD,D,15/08/20,00:00:00,302.3800000
GDAX.BCH-USD,D,16/08/20,00:00:00,308.3600000
GDAX.BCH-USD,D,17/08/20,00:00:00,318.3100000
GDAX.BCH-USD,D,18/08/20,00:00:00,303.6000000
GDAX.BCH-USD,D,19/08/20,00:00:00,292.7100000
GDAX.BCH-USD,D,20/08/20,00:00:00,294.7500000
GDAX.BCH-USD,D,21/08/20,00:00:00,282.9900000
GDAX.BCH-USD,D,22/08/20,00:00:00,286.7500000
GDAX.BCH-USD,D,23/08/20,00:00:00,284.6900000
GDAX.BCH-USD,D,24/08/20,00:00:00,290.8000000
GDAX.BCH-USD,D,25/08/20,00:00:00,275.6800000
GDAX.BCH-USD,D,26/08/20,00:00:00,274.7900000
GDAX.BCH-USD,D,27/08/20,00:00:00,264.7300000
GDAX.BCH-USD,D,28/08/20,00:00:00,268.6900000
GDAX.BCH-USD,D,29/08/20,00:00:00,268.2900000
GDAX.BCH-USD,D,30/08/20,00:00:00,279.3100000
GDAX.BCH-USD,D,31/08/20,00:00:00,273.4600000
GDAX.BCH-USD,D,01/09/20,00:00:00,292.1800000
GDAX.BCH-USD,D,02/09/20,00:00:00,264.2200000
GDAX.BCH-USD,D,03/09/20,00:00:00,225.4300000
GDAX.BCH-USD,D,04/09/20,00:00:00,230.9000000
GDAX.BCH-USD,D,05/09/20,00:00:00,225.9400000
GDAX.BCH-USD,D,06/09/20,00:00:00,227.7200000
GDAX.BCH-USD,D,07/09/20,00:00:00,228.8400000
GDAX.BCH-USD,D,08/09/20,00:00:00,222.2800000
GDAX.BCH-USD,D,09/09/20,00:00:00,223.9100000
GDAX.BCH-USD,D,10/09/20,00:00:00,227.4600000
GDAX.BCH-USD,D,11/09/20,00:00:00,225.3300000
GDAX.BCH-USD,D,12/09/20,00:00:00,230.1400000
GDAX.BCH-USD,D,13/09/20,00:00:00,222.2800000
GDAX.BCH-USD,D,14/09/20,00:00:00,225.7600000
GDAX.BCH-USD,D,15/09/20,00:00:00,235.1200000
GDAX.BCH-USD,D,16/09/20,00:00:00,230.6200000
GDAX.BCH-USD,D,17/09/20,00:00:00,232.9400000
GDAX.BCH-USD,D,18/09/20,00:00:00,234.0000000
GDAX.BCH-USD,D,19/09/20,00:00:00,233.0600000
GDAX.BCH-USD,D,20/09/20,00:00:00,226.3100000
GDAX.BCH-USD,D,21/09/20,00:00:00,212.5400000
GDAX.BCH-USD,D,22/09/20,00:00:00,220.0000000
GDAX.BCH-USD,D,23/09/20,00:00:00,207.6400000
GDAX.BCH-USD,D,24/09/20,00:00:00,216.2300000
GDAX.BCH-USD,D,25/09/20,00:00:00,216.6700000
GDAX.BCH-USD,D,26/09/20,00:00:00,221.4100000
GDAX.BCH-USD,D,27/09/20,00:00:00,229.3900000
GDAX.BCH-USD,D,28/09/20,00:00:00,225.2900000
GDAX.BCH-USD,D,29/09/20,00:00:00,229.0100000
GDAX.BCH-USD,D,30/09/20,00:00:00,227.9100000
GDAX.BCH-USD,D,01/10/20,00:00:00,228.0100000
GDAX.BCH-USD,D,02/10/20,00:00:00,219.7500000
GDAX.BCH-USD,D,03/10/20,00:00:00,218.5900000
GDAX.BCH-USD,D,04/10/20,00:00:00,221.0800000
GDAX.BCH-USD,D,05/10/20,00:00:00,222.1700000
GDAX.BCH-USD,D,06/10/20,00:00:00,219.6900000
GDAX.BCH-USD,D,07/10/20,00:00:00,223.0200000
GDAX.BCH-USD,D,08/10/20,00:00:00,234.0900000
GDAX.BCH-USD,D,09/10/20,00:00:00,237.2500000
GDAX.BCH-USD,D,10/10/20,00:00:00,237.4200000
GDAX.BCH-USD,D,11/10/20,00:00:00,239.1500000
GDAX.BCH-USD,D,12/10/20,00:00:00,239.8100000
GDAX.BCH-USD,D,13/10/20,00:00:00,253.6400000
GDAX.BCH-USD,D,14/10/20,00:00:00,259.1300000
GDAX.BCH-USD,D,15/10/20,00:00:00,262.3900000
GDAX.BCH-USD,D,16/10/20,00:00:00,250.3900000
GDAX.BCH-USD,D,17/10/20,00:00:00,245.1900000
GDAX.BCH-USD,D,18/10/20,00:00:00,249.7500000
GDAX.BCH-USD,D,19/10/20,00:00:00,250.0100000
GDAX.BCH-USD,D,20/10/20,00:00:00,240.9800000
GDAX.BCH-USD,D,21/10/20,00:00:00,258.9400000
GDAX.BCH-USD,D,22/10/20,00:00:00,268.3700000
GDAX.BCH-USD,D,23/10/20,00:00:00,270.5000000
GDAX.BCH-USD,D,24/10/20,00:00:00,275.9200000
GDAX.BCH-USD,D,25/10/20,00:00:00,271.4300000
GDAX.BCH-USD,D,26/10/20,00:00:00,259.6600000
GDAX.BCH-USD,D,27/10/20,00:00:00,264.5300000
GDAX.BCH-USD,D,28/10/20,00:00:00,268.2900000
